Item,Subject_Gender,Object_Gender,Word,WordNo,RT
1,match,match,De,1.0,305.0
1,match,match,professor,2.0,183.0
1,match,match,besprak,3.0,300.3333333333333
1,match,match,met,4.0,292.0
1,match,match,een,5.0,239.66666666666666
1,match,match,vriend,6.0,184.0
1,match,match,de,7.0,219.33333333333334
1,match,match,nieuwe,8.0,206.0
1,match,match,resultaten,9.0,208.0
1,match,match,die,10.0,239.0
1,match,match,periode.,11.0,283.0
1,match,match,De,12.0,367.0
1,match,match,hele,13.0,258.0
1,match,match,week,14.0,186.0
1,match,match,lag,15.0,197.0
1,match,match,hij,16.0,184.0
1,match,match,met,17.0,209.33333333333334
1,match,match,zeer,18.0,241.33333333333334
1,match,match,hevige,19.0,185.0
1,match,match,koorts,20.0,198.33333333333334
1,match,match,op,21.0,331.0
1,match,match,bed.,22.0,326.6666666666667
1,match,mis,De,1.0,671.3333333333334
1,match,mis,professor,2.0,476.6666666666667
1,match,mis,besprak,3.0,447.0
1,match,mis,met,4.0,414.6666666666667
1,match,mis,een,5.0,313.3333333333333
1,match,mis,vriendin,6.0,370.6666666666667
1,match,mis,de,7.0,328.3333333333333
1,match,mis,nieuwe,8.0,388.0
1,match,mis,resultaten,9.0,341.3333333333333
1,match,mis,die,10.0,397.6666666666667
1,match,mis,periode.,11.0,480.6666666666667
1,match,mis,De,12.0,615.0
1,match,mis,hele,13.0,372.6666666666667
1,match,mis,week,14.0,282.0
1,match,mis,lag,15.0,341.3333333333333
1,match,mis,hij,16.0,404.0
1,match,mis,met,17.0,317.6666666666667
1,match,mis,zeer,18.0,344.3333333333333
1,match,mis,hevige,19.0,463.6666666666667
1,match,mis,koorts,20.0,560.3333333333334
1,match,mis,op,21.0,381.6666666666667
1,match,mis,bed.,22.0,441.6666666666667
1,mis,match,De,1.0,338.0
1,mis,match,professor,2.0,435.0
1,mis,match,besprak,3.0,405.0
1,mis,match,met,4.0,410.0
1,mis,match,een,5.0,342.5
1,mis,match,vriendin,6.0,407.5
1,mis,match,de,7.0,369.5
1,mis,match,nieuwe,8.0,392.0
1,mis,match,resultaten,9.0,534.0
1,mis,match,die,10.0,529.0
1,mis,match,periode.,11.0,1016.0
1,mis,match,De,12.0,368.5
1,mis,match,hele,13.0,335.0
1,mis,match,week,14.0,435.5
1,mis,match,lag,15.0,417.0
