ItemNo,as.numeric(as.character(WordNo)),Word,RT
265,1.0,Zeven,483.3333333333333
265,2.0,kinderen,405.037037037037
265,3.0,kregen,398.25925925925924
265,4.0,tijdens,395.4074074074074
265,5.0,het,377.962962962963
265,6.0,speelkwartier,464.51851851851853
265,7.0,van,424.9259259259259
265,8.0,de,374.037037037037
265,9.0,juf,375.6666666666667
265,10.0,een,362.6666666666667
265,11.0,waarschuwing.,682.2962962962963
265,12.0,Na,484.7037037037037
265,13.0,de,345.8888888888889
265,14.0,les,355.037037037037
265,15.0,ging,375.6666666666667
265,16.0,de,347.14814814814815
265,17.0,juf,333.74074074074076
265,18.0,ontevreden,374.48148148148147
265,19.0,naar,397.48148148148147
265,20.0,huis.,435.46153846153845
266,1.0,Slechts,446.962962962963
266,2.0,vijf,369.3703703703704
266,3.0,passagiers,369.5925925925926
266,4.0,lieten,386.77777777777777
266,5.0,die,358.25925925925924
266,6.0,ochtend,356.0
266,7.0,hun,338.0740740740741
266,8.0,kaartjes,364.85185185185185
266,9.0,zien,400.3333333333333
266,10.0,aan,339.0
266,11.0,de,308.25925925925924
266,12.0,conducteur,500.85185185185185
266,13.0,.,553.5185185185185
266,14.0,Vlak,386.6296296296296
266,15.0,daarvoor,386.0
266,16.0,had,354.6296296296296
266,17.0,de,319.5925925925926
266,18.0,conducteur,333.48148148148147
266,19.0,nog,351.0740740740741
266,20.0,een,324.18518518518516
266,21.0,pauze,365.4074074074074
266,22.0,genomen.,507.0769230769231
267,1.0,Wel,523.8518518518518
267,2.0,tien,429.77777777777777
267,3.0,getuigen,464.0
267,4.0,maakten,429.51851851851853
267,5.0,na,383.8888888888889
267,6.0,de,358.6296296296296
267,7.0,zitting,390.4074074074074
267,8.0,met,385.55555555555554
267,9.0,de,389.0740740740741
267,10.0,jurist,401.9259259259259
267,11.0,een,400.74074074074076
267,12.0,praatje.,714.6538461538462
267,13.0,Vlak,507.74074074074076
267,14.0,daarna,347.6666666666667
267,15.0,schreef,387.55555555555554
267,16.0,de,360.14814814814815
267,17.0,jurist,340.3703703703704
267,18.0,alles,342.18518518518516
267,19.0,wat,342.22222222222223
267,20.0,ze,337.5925925925926
267,21.0,hadden,362.2962962962963
267,22.0,gezegd,388.51851851851853
267,23.0,op.,472.3076923076923
268,1.0,Vijf,400.5769230769231
268,2.0,vrouwen,426.9259259259259
268,3.0,boden,456.3333333333333
268,4.0,na,387.77777777777777
268,5.0,de,389.25925925925924
268,6.0,lezing,437.44444444444446
268,7.0,aan,399.44444444444446
268,8.0,de,395.3703703703704
268,9.0,docent,389.6296296296296
268,10.0,hun,390.0740740740741
268,11.0,hulp,384.3703703703704
268,12.0,aan.,560.4444444444445
268,13.0,Die,603.2962962962963
268,14.0,middag,378.3333333333333
268,15.0,was,355.44444444444446
268,16.0,de,333.18518518518516
268,17.0,docent,359.4074074074074
268,18.0,sneller,351.6296296296296
268,19.0,klaar,343.77777777777777
268,20.0,met,360.85185185185185
268,21.0,opruimen.,461.61538461538464
269,1.0,Alleen,558.4074074074074
269,2.0,sommige,421.14814814814815
269,3.0,ouderen,466.9259259259259
269,4.0,kregen,522.3703703703703
269,5.0,die,382.6296296296296
269,6.0,middag,411.3333333333333
269,7.0,wat,375.55555555555554
269,8.0,hulp,375.81481481481484
269,9.0,van,342.85185185185185
269,10.0,de,353.14814814814815
269,11.0,cassière.,704.5769230769231
269,11.0,cassi�re.,984.0
269,12.0,De,482.51851851851853
269,13.0,hele,406.81481481481484
269,14.0,ochtend,377.9259259259259
269,15.0,was,365.5925925925926
269,16.0,de,346.3703703703704
269,17.0,cassière,351.3
269,17.0,cassi�re,495.3529411764706
269,18.0,al,454.1111111111111
269,19.0,niet,422.81481481481484
269,20.0,te,386.81481481481484
269,21.0,genieten.,671.6538461538462
270,1.0,Sommige,475.8888888888889
270,2.0,pubers,456.18518518518516
270,3.0,vroegen,385.3703703703704
270,4.0,die,496.77777777777777
270,5.0,dag,384.0740740740741
270,6.0,om,387.44444444444446
270,7.0,bijles,383.3333333333333
270,8.0,aan,376.44444444444446
270,9.0,de,371.7037037037037
270,10.0,studente.,726.3703703703703
270,11.0,Al,479.7037037037037
270,12.0,erg,354.85185185185185
270,13.0,snel,371.44444444444446
270,14.0,was,358.1111111111111
270,15.0,de,352.4074074074074
270,16.0,studente,374.22222222222223
270,17.0,klaar,382.5925925925926
270,18.0,met,364.8888888888889
270,19.0,uitleggen.,609.4615384615385
271,1.0,Sommige,469.4074074074074
271,2.0,schrijvers,413.4074074074074
271,3.0,gaven,461.3333333333333
271,4.0,na,393.7692307692308
271,5.0,de,382.6666666666667
271,6.0,vergadering,390.7692307692308
271,7.0,hun,451.6296296296296
271,8.0,e-mailadres,446.2307692307692
271,9.0,aan,431.6666666666667
271,10.0,de,342.44444444444446
271,11.0,directeur,657.2592592592592
271,12.0,Twee,520.8076923076923
271,13.0,dagen,357.0
271,14.0,later,363.4074074074074
271,15.0,stuurde,359.77777777777777
271,16.0,de,331.55555555555554
271,17.0,directeur,381.25925925925924
271,18.0,een,362.0740740740741
271,19.0,e-mail.,526.8076923076923
272,1.0,Alleen,437.2962962962963
272,2.0,sommige,377.14814814814815
272,3.0,collega's,512.6666666666666
272,4.0,wisten,398.18518518518516
272,5.0,in,393.77777777777777
272,6.0,die,338.44444444444446
272,7.0,periode,417.4074074074074
272,8.0,van,357.3333333333333
272,9.0,de,323.9259259259259
272,10.0,essayist,453.81481481481484
272,11.0,zijn,490.7037037037037
272,12.0,echte,408.9259259259259
272,13.0,naam.,808.6296296296297
272,14.0,Al,443.51851851851853
272,15.0,een,313.7037037037037
272,16.0,aantal,332.18518518518516
272,17.0,jaar,342.2962962962963
272,18.0,gebruikte,342.44444444444446
272,19.0,de,375.81481481481484
272,20.0,essayist,399.3333333333333
272,21.0,een,376.1111111111111
272,22.0,pseudoniem.,524.9615384615385
273,1.0,Een,419.4074074074074
273,2.0,paar,410.18518518518516
273,3.0,aanwezigen,484.18518518518516
273,4.0,poseerden,548.7407407407408
273,5.0,die,465.8888888888889
273,6.0,dag,410.0
273,7.0,voor,368.6666666666667
273,8.0,de,346.0
273,9.0,fotografe.,837.2592592592592
273,10.0,De,533.8518518518518
273,11.0,dag,455.3703703703704
273,12.0,erna,386.81481481481484
273,13.0,wilde,379.3333333333333
273,14.0,de,346.81481481481484
273,15.0,fotografe,395.55555555555554
273,16.0,de,377.14814814814815
273,17.0,foto's,365.14814814814815
273,18.0,gaan,359.65384615384613
273,19.0,bewerken.,566.3461538461538
274,1.0,Een,411.5925925925926
274,2.0,paar,398.962962962963
274,3.0,gasten,490.037037037037
274,4.0,belden,439.7037037037037
274,5.0,die,469.55555555555554
274,6.0,ochtend,451.0740740740741
274,7.0,met,410.48148148148147
274,8.0,de,372.74074074074076
274,9.0,manager,394.22222222222223
